NombreProvincia;CantidadMunicipios;Municipio
Castellón/Castelló;135;Vistabella del Maestrat
Castellón/Castelló;135;Viver
Castellón/Castelló;135;Xert
Castellón/Castelló;135;Zorita del Maestrazgo
Castellón/Castelló;135;Zucaina
Valencia/València;257;Ademuz
Valencia/València;257;Ador
Valencia/València;257;Agullent
Valencia/València;257;Aielo de Malferit
Valencia/València;257;Aielo de Rugat
Valencia/València;257;Alaquàs
Valencia/València;257;Albaida
Valencia/València;257;Albal
Valencia/València;257;Albalat de la Ribera
Valencia/València;257;Albalat dels Sorells
Valencia/València;257;Albalat dels Tarongers
Valencia/València;257;Alberic
Valencia/València;257;Alborache
Valencia/València;257;Alboraia/Alboraya
Valencia/València;257;Albuixech
Valencia/València;257;Alcàntera de Xúquer
Valencia/València;257;Alcàsser
Valencia/València;257;Alcublas
Valencia/València;257;Alcúdia de Crespins, l'
Valencia/València;257;Alcúdia, l'
Valencia/València;257;Aldaia
Valencia/València;257;Alfafar
Valencia/València;257;Alfara de la Baronia
Valencia/València;257;Alfara del Patriarca
Valencia/València;257;Alfarp
Valencia/València;257;Alfarrasí
Valencia/València;257;Alfauir
Valencia/València;257;Algar de Palancia
Valencia/València;257;Algemesí
Valencia/València;257;Algímia d'Alfara
Valencia/València;257;Alginet
Valencia/València;257;Almàssera
Valencia/València;257;Almiserà
Valencia/València;257;Almoines
Valencia/València;257;Almussafes
Valencia/València;257;Alpuente
Valencia/València;257;Alqueria de la Comtessa, l'
Valencia/València;257;Alzira
Valencia/València;257;Andilla
Valencia/València;257;Anna
Valencia/València;257;Antella
Valencia/València;257;Aras de los Olmos
Valencia/València;257;Atzeneta d'Albaida
Valencia/València;257;Ayora
Valencia/València;257;Barx
Valencia/València;257;Barxeta
Valencia/València;257;Bèlgida
Valencia/València;257;Bellreguard
Valencia/València;257;Bellús
Valencia/València;257;Benagéber
Valencia/València;257;Benaguasil
Valencia/València;257;Benavites
Valencia/València;257;Beneixida
Valencia/València;257;Benetússer
Valencia/València;257;Beniarjó
Valencia/València;257;Beniatjar
Valencia/València;257;Benicolet
Valencia/València;257;Benicull de Xúquer
Valencia/València;257;Benifaió
Valencia/València;257;Benifairó de la Valldigna
Valencia/València;257;Benifairó de les Valls
Valencia/València;257;Beniflá
Valencia/València;257;Benigànim
Valencia/València;257;Benimodo
Valencia/València;257;Benimuslem
Valencia/València;257;Beniparrell
Valencia/València;257;Benirredrà
Valencia/València;257;Benissanó
Valencia/València;257;Benissoda
Valencia/València;257;Benissuera
Valencia/València;257;Bétera
Valencia/València;257;Bicorp
Valencia/València;257;Bocairent
Valencia/València;257;Bolbaite
Valencia/València;257;Bonrepòs i Mirambell
Valencia/València;257;Bufali
Valencia/València;257;Bugarra
Valencia/València;257;Buñol
Valencia/València;257;Burjassot
Valencia/València;257;Calles
Valencia/València;257;Camporrobles
Valencia/València;257;Canals
Valencia/València;257;Canet d'En Berenguer
Valencia/València;257;Carcaixent
Valencia/València;257;Càrcer
Valencia/València;257;Carlet
Valencia/València;257;Carrícola
Valencia/València;257;Casas Altas
Valencia/València;257;Casas Bajas
Valencia/València;257;Casinos
Valencia/València;257;Castelló de Rugat
Valencia/València;257;Castellonet de la Conquesta
Valencia/València;257;Castielfabib
Valencia/València;257;Catadau
Valencia/València;257;Catarroja
Valencia/València;257;Caudete de las Fuentes
Valencia/València;257;Cerdà
Valencia/València;257;Chella
Valencia/València;257;Chelva
Valencia/València;257;Chera
Valencia/València;257;Cheste
Valencia/València;257;Chiva
Valencia/València;257;Chulilla
Valencia/València;257;Cofrentes
Valencia/València;257;Corbera
Valencia/València;257;Cortes de Pallás
Valencia/València;257;Cotes
Valencia/València;257;Cullera
Valencia/València;257;Daimús
Valencia/València;257;Domeño
Valencia/València;257;Dos Aguas
Valencia/València;257;Eliana, l'
Valencia/València;257;Emperador
Valencia/València;257;Enguera
Valencia/València;257;Ènova, l'
Valencia/València;257;Estivella
Valencia/València;257;Estubeny
Valencia/València;257;Faura
Valencia/València;257;Favara
Valencia/València;257;Foios
Valencia/València;257;Font de la Figuera, la
Valencia/València;257;Font d'En Carròs, la
Valencia/València;257;Fontanars dels Alforins
Valencia/València;257;Fortaleny
Valencia/València;257;Fuenterrobles
Valencia/València;257;Gandia
Valencia/València;257;Gátova
Valencia/València;257;Gavarda
Valencia/València;257;Genovés, el
Valencia/València;257;Gestalgar
Valencia/València;257;Gilet
Valencia/València;257;Godella
Valencia/València;257;Godelleta
Valencia/València;257;Granja de la Costera, la
Valencia/València;257;Guadasséquies
Valencia/València;257;Guadassuar
Valencia/València;257;Guardamar de la Safor
Valencia/València;257;Higueruelas
Valencia/València;257;Jalance
Valencia/València;257;Jarafuel
Valencia/València;257;Llanera de Ranes
Valencia/València;257;Llaurí
Valencia/València;257;Llíria
Valencia/València;257;Llocnou de la Corona
Valencia/València;257;Llocnou de Sant Jeroni
Valencia/València;257;Llocnou d'En Fenollet
Valencia/València;257;Llombai
Valencia/València;257;Llosa de Ranes, la
Valencia/València;257;Llutxent
Valencia/València;257;Loriguilla
Valencia/València;257;Losa del Obispo
Valencia/València;257;Macastre
Valencia/València;257;Manises
Valencia/València;257;Manuel
Valencia/València;257;Marines
Valencia/València;257;Massalavés
Valencia/València;257;Massalfassar
Valencia/València;257;Massamagrell
Valencia/València;257;Massanassa
Valencia/València;257;Meliana
Valencia/València;257;Millares
Valencia/València;257;Miramar
Valencia/València;257;Mislata
Valencia/València;257;Mogente/Moixent
Valencia/València;257;Moncada
Valencia/València;257;Montaverner
Valencia/València;257;Montesa
Valencia/València;257;Montitxelvo/Montichelvo
Valencia/València;257;Montroi/Montroy
Valencia/València;257;Montserrat
Valencia/València;257;Museros
Valencia/València;257;Nàquera/Náquera
Valencia/València;257;Navarrés
Valencia/València;257;Novelé/Novetlè
Valencia/València;257;Oliva
Valencia/València;257;Olleria, l'
Valencia/València;257;Olocau
Valencia/València;257;Ontinyent
Valencia/València;257;Otos
Valencia/València;257;Paiporta
Valencia/València;257;Palma de Gandía
Valencia/València;257;Palmera
Valencia/València;257;Palomar, el
Valencia/València;257;Paterna
Valencia/València;257;Pedralba
Valencia/València;257;Petrés
Valencia/València;257;Picanya
Valencia/València;257;Picassent
Valencia/València;257;Piles
Valencia/València;257;Pinet
Valencia/València;257;Pobla de Farnals, la
Valencia/València;257;Pobla de Vallbona, la
Valencia/València;257;Pobla del Duc, la
Valencia/València;257;Pobla Llarga, la
Valencia/València;257;Polinyà de Xúquer
Valencia/València;257;Potries
Valencia/València;257;Puçol
Valencia/València;257;Puebla de San Miguel
Valencia/València;257;Puig de Santa Maria, el
Valencia/València;257;Quart de les Valls
Valencia/València;257;Quart de Poblet
Valencia/València;257;Quartell
Valencia/València;257;Quatretonda
Valencia/València;257;Quesa
Valencia/València;257;Rafelbunyol
Valencia/València;257;Rafelcofer
Valencia/València;257;Rafelguaraf
Valencia/València;257;Ráfol de Salem
Valencia/València;257;Real
Valencia/València;257;Real de Gandia, el
Valencia/València;257;Requena
Valencia/València;257;Riba-roja de Túria
Valencia/València;257;Riola
Valencia/València;257;Rocafort
Valencia/València;257;Rotglà i Corberà
Valencia/València;257;Rótova
Valencia/València;257;Rugat
Valencia/València;257;Sagunto/Sagunt
Valencia/València;257;Salem
Valencia/València;257;San Antonio de Benagéber
Valencia/València;257;Sant Joanet
Valencia/València;257;Sedaví
Valencia/València;257;Segart
Valencia/València;257;Sellent
Valencia/València;257;Sempere
Valencia/València;257;Senyera
Valencia/València;257;Serra
Valencia/València;257;Siete Aguas
Valencia/València;257;Silla
Valencia/València;257;Simat de la Valldigna
Valencia/València;257;Sinarcas
Valencia/València;257;Sollana
Valencia/València;257;Sot de Chera
Valencia/València;257;Sueca
Valencia/València;257;Sumacàrcer
Valencia/València;257;Tavernes Blanques
Valencia/València;257;Tavernes de la Valldigna
Valencia/València;257;Teresa de Cofrentes
Valencia/València;257;Terrateig
Valencia/València;257;Titaguas
Valencia/València;257;Torrebaja
Valencia/València;257;Torrella
Valencia/València;257;Torrent
Valencia/València;257;Torres Torres
Valencia/València;257;Tous
Valencia/València;257;Tuéjar
Valencia/València;257;Turís
Valencia/València;257;Utiel
Valencia/València;257;València
Valencia/València;257;Vallada
Valencia/València;257;Vallanca
Valencia/València;257;Vallés
Valencia/València;257;Venta del Moro
Valencia/València;257;Vilallonga/Villalonga
Valencia/València;257;Vilamarxant
Valencia/València;257;Villanueva de Castellón
Valencia/València;257;Villar del Arzobispo
